TransactionID,Date,Amount,Type,Sender,Receiver,Location,Device,FraudLabel,Risk
TXN000133,2025-10-08 06:57:14.158075,27366,QR Code Payments,Pooja Nair,Kavita Reddy,Hyderabad,Android,0,Low
TXN000134,2025-10-08 05:02:14.158075,17512,Recharge,Vikram Joshi,Anita Sinha,Meerut,Android,0,Low
TXN000135,2025-10-04 02:26:14.158075,33370,P2P,Vikram Joshi,Anjali Verma,Agra,iOS,0,Medium
TXN000136,2025-10-06 10:59:14.158075,7010,Subscription Payments,Ravi Singh,Rohan Mehta,Aurangabad,Android,1,Medium
TXN000137,2025-10-06 12:10:14.158075,45553,Shopping,Sneha Iyer,Rajesh Kumar,Delhi,Android,0,Low
TXN000138,2025-10-02 08:28:14.158075,25544,Recharge,Sunita Das,Manish Tiwari,Agra,iOS,0,Low
TXN000139,2025-10-04 11:07:14.158075,306,Subscription Payments,Sunita Das,Sunita Das,Madurai,Android,0,Low
TXN000140,2025-10-02 04:28:14.158075,21618,P2P,Rajesh Kumar,Deepak Malhotra,Lucknow,Android,1,Low
TXN000141,2025-10-05 01:28:14.158075,22461,Bill Payment,Anita Sinha,Aakash Choudhary,Madurai,iOS,0,Low
TXN000142,2025-10-01 15:16:14.158075,23519,QR Code Payments,Sneha Iyer,Vikram Joshi,Hyderabad,iOS,0,Low
TXN000143,2025-10-04 10:58:14.158075,48802,Subscription Payments,Vijay Rao,Anita Sinha,Meerut,Android,0,Low
TXN000144,2025-10-08 04:46:14.158075,41623,Subscription Payments,Suresh Yadav,Karan Kapoor,Nagpur,iOS,0,Low
TXN000145,2025-10-02 23:36:14.158075,45251,Bill Payment,Sneha Iyer,Rohan Mehta,Bangalore,iOS,0,Low
TXN000146,2025-10-06 06:43:14.158075,22503,Subscription Payments,Kavita Reddy,Anita Sinha,Jodhpur,Android,0,High
TXN000147,2025-10-07 06:03:14.158075,18241,P2P,Aakash Choudhary,Aakash Choudhary,Surat,iOS,0,High
TXN000148,2025-10-02 19:41:14.158075,14920,P2P,Karan Kapoor,Deepak Malhotra,Coimbatore,Android,1,Low
TXN000149,2025-10-06 16:44:14.158075,40442,Bill Payment,Anita Sinha,Aakash Choudhary,Madurai,Android,0,Low
TXN000150,2025-10-04 23:05:14.158075,6474,QR Code Payments,Karan Kapoor,Kavita Reddy,Ahmedabad,Android,0,Low
TXN000151,2025-10-05 10:12:14.158075,1778,Shopping,Anjali Verma,Ravi Singh,Thane,Android,0,Low
TXN000152,2025-10-03 01:30:14.158075,33927,Recharge,Vijay Rao,Sunita Das,Vadodara,iOS,0,Low
TXN000153,2025-10-02 16:06:14.158075,16298,Shopping,Vijay Rao,Suresh Yadav,Kolkata,Android,0,Low
TXN000154,2025-10-07 09:22:14.158075,10014,Subscription Payments,Kavita Reddy,Sneha Iyer,Nagpur,Android,0,Low
TXN000155,2025-10-06 21:43:14.158075,27990,Recharge,Sunita Das,Anjali Verma,Pune,Android,0,Low
TXN000156,2025-10-04 03:44:14.158075,22399,Bill Payment,Rajesh Kumar,Sunita Das,Nagpur,Android,1,Low
TXN000157,2025-10-04 05:33:14.158075,43685,Bill Payment,Karan Kapoor,Karan Kapoor,Mumbai,iOS,1,Low
TXN000158,2025-10-01 19:41:14.158075,43789,QR Code Payments,Suresh Yadav,Pooja Nair,Vijayawada,iOS,1,Low
TXN000159,2025-10-06 20:37:14.158075,42657,Recharge,Amit Patel,Sunita Das,Patna,iOS,0,Low
TXN000160,2025-10-05 02:58:14.158075,49180,P2P,Sneha Iyer,Aakash Choudhary,Nashik,Android,0,Low
TXN000161,2025-10-06 18:49:14.158075,44120,Recharge,Aakash Choudhary,Karan Kapoor,Meerut,iOS,0,Low
TXN000162,2025-10-04 16:45:14.158075,2793,Subscription Payments,Anjali Verma,Meena Kumari,Gwalior,iOS,0,Low
TXN000163,2025-10-04 06:47:14.158075,29567,P2P,Suresh Yadav,Sneha Iyer,Chennai,Android,0,Low
TXN000164,2025-10-04 14:02:14.158075,29823,Bill Payment,Suresh Yadav,Kavita Reddy,Jaipur,iOS,0,Low
TXN000165,2025-10-07 01:17:14.158075,46799,Recharge,Karan Kapoor,Vikram Joshi,Agra,Android,0,Low
TXN000166,2025-10-06 14:22:14.158075,3727,Shopping,Aakash Choudhary,Vijay Rao,Kanpur,iOS,0,Low
TXN000167,2025-10-03 08:22:14.158075,26039,QR Code Payments,Manish Tiwari,Rajesh Kumar,Chennai,iOS,0,Low
TXN000168,2025-10-03 20:46:14.158075,49025,Shopping,Aakash Choudhary,Ravi Singh,Kolkata,iOS,0,Low
TXN000169,2025-10-05 18:59:14.158075,43041,QR Code Payments,Pooja Nair,Aakash Choudhary,Madurai,iOS,0,Medium
TXN000170,2025-10-05 21:03:14.158075,21934,Subscription Payments,Neha Sharma,Amit Patel,Coimbatore,Android,0,High
TXN000171,2025-10-04 19:21:14.158075,18147,Shopping,Suresh Yadav,Deepak Malhotra,Mumbai,Android,0,High
TXN000172,2025-10-07 01:42:14.158075,26205,Recharge,Vikram Joshi,Neha Sharma,Vijayawada,iOS,0,Low
TXN000173,2025-10-03 22:37:14.158075,10330,Recharge,Rohan Mehta,Vikram Joshi,Delhi,Android,1,High
TXN000174,2025-10-05 15:13:14.158075,15807,Shopping,Pooja Nair,Suresh Yadav,Pune,iOS,0,Low
TXN000175,2025-10-07 11:37:14.158075,22076,Recharge,Sunita Das,Deepak Malhotra,Gwalior,iOS,1,Low
TXN000176,2025-10-03 23:29:14.158075,44362,Subscription Payments,Rohan Mehta,Deepak Malhotra,Patna,iOS,0,Low
TXN000177,2025-10-02 16:05:14.158075,23876,P2P,Rajesh Kumar, Priya Gupta,Chennai,iOS,0,Medium
TXN000178,2025-10-04 18:07:14.158075,30180,Subscription Payments,Anita Sinha,Pooja Nair,Visakhapatnam,iOS,0,Low
TXN000179,2025-10-08 03:18:14.158075,1406,QR Code Payments,Deepak Malhotra,Pooja Nair,Jodhpur,iOS,0,Medium
TXN000180,2025-10-04 00:36:14.158075,6876,Subscription Payments,Sunita Das,Anjali Verma,Jodhpur,Android,0,Low
TXN000181,2025-10-06 14:54:14.158075,27351,QR Code Payments,Pooja Nair,Vijay Rao,Kanpur,Android,0,Low
TXN000182,2025-10-07 04:09:14.158075,9574,Recharge,Karan Kapoor,Karan Kapoor,Meerut,iOS,0,Low
TXN000183,2025-10-07 08:25:14.158075,40394,P2P,Sunita Das,Sneha Iyer,Aurangabad,Android,0,Low
TXN000184,2025-10-07 03:33:14.158075,22059,Recharge,Rohan Mehta,Karan Kapoor,Mumbai,iOS,0,Low
TXN000185,2025-10-01 21:10:14.158075,5630,Bill Payment,Suresh Yadav,Amit Patel,Ahmedabad,Android,0,Low
TXN000186,2025-10-06 20:30:14.158075,29420,Recharge,Kavita Reddy,Manish Tiwari,Jaipur,Android,0,Low
TXN000187,2025-10-07 06:07:14.158075,3848,QR Code Payments,Deepak Malhotra,Pooja Nair,Madurai,Android,0,Low
TXN000188,2025-10-07 13:27:14.158075,32068,Recharge,Ravi Singh,Karan Kapoor,Kolkata,iOS,0,Low
TXN000189,2025-10-08 02:11:14.158075,32662,Recharge,Neha Sharma,Sneha Iyer,Mumbai,Android,0,Medium
TXN000190,2025-10-04 22:42:14.158075,13645,P2P,Deepak Malhotra,Rohan Mehta,Pune,iOS,0,Low
TXN000191,2025-10-07 21:48:14.158075,763,Recharge,Rohan Mehta,Sneha Iyer,Chennai,iOS,0,Low
TXN000192,2025-10-07 14:20:14.158075,34866,P2P,Sunita Das,Pooja Nair,Agra,iOS,1,Low
TXN000193,2025-10-03 15:57:14.158075,8094,Shopping,Anjali Verma,Karan Kapoor,Thane,Android,0,Low
TXN000194,2025-10-03 06:42:14.158075,28121,Bill Payment,Karan Kapoor,Sneha Iyer,Chennai,Android,0,High
TXN000195,2025-10-06 19:57:14.158075,30403,P2P,Meena Kumari,Sunita Das,Vadodara,Android,0,Medium
TXN000196,2025-10-08 11:38:14.158075,3404,QR Code Payments,Suresh Yadav,Meena Kumari,Surat,iOS,0,Low
TXN000197,2025-10-08 05:36:14.158075,46676,Shopping,Karan Kapoor,Neha Sharma,Agra,iOS,0,Low
TXN000198,2025-10-05 11:59:14.158075,39453,P2P,Suresh Yadav, Priya Gupta,Raipur,Android,0,Medium
TXN000199,2025-10-06 04:49:14.158075,17775,P2P,Ravi Singh,Aakash Choudhary,Vadodara,iOS,0,Medium
TXN000200,2025-10-05 07:25:14.158075,44517,Bill Payment,Rohan Mehta,Aakash Choudhary,Raipur,Android,0,Medium
TXN000201,2025-10-02 12:59:14.158075,24038,QR Code Payments,Meena Kumari,Pooja Nair,Hyderabad,Android,0,Medium
TXN000202,2025-10-02 15:47:14.158075,23764,Subscription Payments,Amit Patel,Rohan Mehta,Vadodara,Android,0,Low
TXN000203,2025-10-07 02:40:14.158075,1736,Subscription Payments,Anita Sinha,Kavita Reddy,Kochi,Android,0,Low
TXN000204,2025-10-07 23:55:14.158075,20180,P2P,Sunita Das,Rajesh Kumar,Aurangabad,iOS,0,Low
TXN000205,2025-10-08 08:45:14.158075,27828,Recharge,Sunita Das,Meena Kumari,Mumbai,Android,1,Low
TXN000206,2025-10-05 21:26:14.158075,49950,QR Code Payments,Deepak Malhotra,Sunita Das,Aurangabad,Android,0,Low
TXN000207,2025-10-07 15:24:14.158075,26836,Shopping,Amit Patel,Meena Kumari,Thane,Android,0,Low
TXN000208,2025-10-08 05:30:14.158075,28773,Recharge,Amit Patel,Karan Kapoor,Hyderabad,Android,0,Low
TXN000209,2025-10-03 14:24:14.158075,37605,Recharge,Vikram Joshi,Rohan Mehta,Jaipur,Android,1,Low
TXN000210,2025-10-05 07:54:14.158075,47423,QR Code Payments,Pooja Nair,Rajesh Kumar,Aurangabad,Android,0,Low
TXN000211,2025-10-02 03:25:14.158075,46745,P2P,Manish Tiwari,Meena Kumari,Kolkata,Android,0,Low
TXN000212,2025-10-04 16:06:14.158075,954,P2P,Vikram Joshi,Vijay Rao,Delhi,iOS,0,Low
TXN000213,2025-10-02 02:58:14.158075,24648,P2P,Ravi Singh,Anita Sinha,Delhi,iOS,0,Medium
TXN000214,2025-10-08 10:26:14.158075,38723,P2P,Sneha Iyer,Anjali Verma,Visakhapatnam,iOS,0,Medium
TXN000215,2025-10-07 05:25:14.158075,7492,Subscription Payments,Rajesh Kumar,Neha Sharma,Chennai,iOS,0,Low
TXN000216,2025-10-02 11:33:14.158075,46817,P2P,Sunita Das,Amit Patel,Surat,Android,1,Low
TXN000217,2025-10-06 21:29:14.158075,21656,Subscription Payments, Priya Gupta,Neha Sharma,Visakhapatnam,iOS,0,Low
TXN000218,2025-10-04 22:33:14.158075,38659,Subscription Payments,Anita Sinha,Vikram Joshi,Nagpur,iOS,0,Low
TXN000219,2025-10-01 16:48:14.158075,26409,P2P,Vijay Rao,Deepak Malhotra,Bhopal,iOS,0,Low
TXN000220,2025-10-01 21:43:14.158075,22019,Bill Payment,Karan Kapoor,Suresh Yadav,Aurangabad,Android,0,Low
TXN000221,2025-10-07 14:57:14.158075,5031,Shopping,Rohan Mehta,Pooja Nair,Aurangabad,iOS,1,Medium
TXN000222,2025-10-03 07:30:14.158075,33070,Recharge,Kavita Reddy,Deepak Malhotra,Visakhapatnam,iOS,0,Low
